productId,skuId,name,brand,top,category,bracket,price
1002226464,1002103479,Massinha de Modelar - Play-Doh - Pet Shop - Veterinário - Hasbro,Hasbro,BRINQUEDOS,ARTES,0-2,149.99
1003264299,1003150768,Sylvanian Families - Gêmeos Urso Biscoito - Epoch,Epoch,BRINQUEDOS,BRINCADEIRA DE CASINHA,0-2,99.99
1003167533,1003044299,Projetor De Desenhos - Barbie - Rosa - Multikids,Multikids,BRINQUEDOS,FAZ DE CONTA,3-5,160.99
1002837391,1002704027,Brinquedo Musical Infantil - Patrulha Canina - Piano Xilofone - Yes Toys,Yes Toys,BRINQUEDOS,INSTRUMENTOS MUSICAIS,unknown,102.99
1001924496,100326061,Lançador de Dardos - Nerf - Elite 2.0 - Volt SD 1 - Hasbro,Hasbro,BRINQUEDOS,LANCADORES,unknown,95.99
1003265986,1003152564,Quebra-Cabeça - Disney - Pixar - Toy Story 5 - 100 Peças - Toyster,SEM LICENÇA,BRINQUEDOS,QUEBRA-CABECAS,6-8,52.99
1001856941,100266232,Laptop de Atividades - Bilíngue - Barbie - Candide,Candide,BRINQUEDOS,BRINQUEDOS ELETRONICOS,unknown,99.99
1002587799,1002459051,Conjunto De Pintura Para Unhas - Cool Maker - Go Glam U-Nique Nail Salon - Sunny,Sunny,BRINQUEDOS,BRINQUEDOS DE BELEZA,6-8,129.91
1001884856,100292972,Carrinho de Boneca - Ninos - 64cm - Sortido - Cotiplás,Cotiplas,BONECOS E BONECAS,ACESSORIOS PARA BONECAS,0-2,169.99
1002864221,1002730513,Playset - Barbie - Casa De Bonecas Dos Sonhos - Mattel,Mattel,BONECOS E BONECAS,CASA DE BONECA,3-5,1548.99
1002072873,100451995,Jogo Imagem & Ação Júnior - 448 Peças - Grow,Grow,JOGOS,JOGOS DE ACAO,unknown,50.99
1003250522,1003134878,Jogo de Cartas - Uno - Original - Mattel,Mattel,JOGOS,JOGOS CLASSICOS,6-8,11.99
100137820,100137601,Conjunto de Atividades - LAB 42 Experiências - Estrela,Estrela,JOGOS,JOGOS EDUCATIVOS,unknown,99.99
1003265456,1003151979,Geladeira - Mini Brands - Fill The Fridge - Mini Minis - Candide,Candide,COLECIONAVEIS,MONTAGEM E MODELISMO,6-8,349.99
1002857546,1002723753,Fantasia - Disney Princesa - A Pequena Sereia Ariel - Tamanho M - Novabrink,Novabrink,FANTASIAS,FANTASIA INFANTIL,unknown,79.91
1002964495,1002830189,Sabre de Luz Space Force - Cores Sortidas - DM Toys,DM TOYS,FANTASIAS,SABRE DE LUZ,unknown,41.99
1002962689,1002828403,Mascara - Jurassic World - Dominion - Dinossauro - Modelos Unitários Sortidos - Mattel,Mattel,FANTASIAS,MASCARAS,3-5,238.99
1002032545,100412539,Bicicleta Aro 12 -  Arco Íris Branco e Pink - TK3 Track,TRACKBIKES,ESPORTES,BICICLETAS,0-2,349.99
1001957590,100354084,Skate Com Acessórios - Hot Wheels  - Modelos Sortidos - Fun,Fun,ESPORTES,SKATES,6-8,399.99
1003265451,1003151974,Patinete - Skatenet - Led - Dobrável - Bandeirante,SEM LICENÇA,ESPORTES,PATINETES,3-5,599.99
1002543214,1002415192,Patins - Barbie - Dreamtopia - Tamanho 29 a 32 - Fun - Rosa,Fun,ESPORTES,PATINS,6-8,333.99
1003300414,1003194320,BOLA TOTAL PRINT ESTAMPA DE CARROS - ALLPHA,ALLPHA,ESPORTES,BOLAS,unknown,42.89
100167166,100167562,Jogo de Boliche - Com 6 Pinos e 2 Bolas - Cardoso,Cardoso,ESPORTES,BRINCADEIRAS AO AR LIVRE,0-2,42.99
1003301042,1003194992,Piscina Inflável Infantil Fundo do Mar 28 Litros Intex,Intex,ESPORTES,PRAIA E PISCINA,unknown,44.99
1002437925,1002312637,Jogo PS4 - Kena Brigde of Spirits - Sony,Sony,TECNOLOGIA,JOGOS DE VIDEO-GAME,9-12,124.91
1003300116,1003194016,Controle Gamepad Bluetooth AL-G7 H Android iOS PC Switch Preto,Altomex,TECNOLOGIA,CONTROLES,unknown,129.99
1003268169,1003154943,Livro Magnético Infantil - Histórias Magnéticas - Dinossauros - Janod,Maped,LIVROS E PAPELARIA,LIVROS,0-2,89.99
1003177354,1003054887,Conjunto Álbum E Figurinhas - Fórmula 1 - 2024 - Topps,TOPPS SPORTS,LIVROS E PAPELARIA,ALBUM DE FIGURINHAS,6-8,159.99
